name,yearpublished,rank,price
Champions of Midgard,2015,165,40.18
Rajas of the Ganges,2017,166,33.13
Magic: The Gathering,1993,167,28.21
Planet Unknown,2022,168,62.95
Hadrian's Wall,2021,169,13.78
Too Many Bones: Undertow,2018,170,81.0
Pandemic,2008,171,22.49
Roll for the Galaxy,2014,172,41.64
Targi,2012,173,17.49
Star Realms,2014,174,14.68
Dominion: Second Edition,2016,175,57.99
PARKS,2019,176,36.34
Ticket to Ride: Europe,2005,177,33.9
Alchemists,2014,178,32.25
Andromeda's Edge,2024,179,53.98
Undaunted: Normandy,2019,180,28.53
Cartographers,2019,181,21.28
War Chest,2018,182,36.84
Res Arcana,2019,183,21.48
Civolution,2024,184,64.02
It's a Wonderful World,2019,185,30.07
The Lord of the Rings: The Card Game,2011,186,32.94
Watergate,2019,187,28.94
Stone Age,2008,188,39.99
Terraforming Mars: Ares Expedition,2021,189,38.55
Unmatched: Cobble & Fog,2020,190,30.73
Istanbul,2014,191,30.39
Praga Caput Regni,2020,192,33.12
Star Wars: Outer Rim,2019,193,52.99
Great Western Trail: Argentina,2022,194,28.68
The Isle of Cats,2019,195,35.99
Xia: Legends of a Drift System,2014,196,69.95
Viscounts of the West Kingdom,2020,197,43.2
Legendary Encounters: An Alien Deck Building Game,2014,198,44.58
Kemet,2012,199,40.61
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,200,34.39
